# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663105527365;37665151;3491230;3438636;1838970;202488;12419088;4319940;53222;184436;31;7088322;4938324;5262193;2605806;345737;20845740;7213371;73098;224489;313;10773591;
1663105527380;37589664;116132271;74046717;35899731;6091692;419660184;134367249;1599606;4215839;526;143645134;7362127;10499605;5091156;1300139;37067436;9791009;200381;725719;2513;15782112;
1663105527396;37696422;51320756;64014608;31047282;5304904;217818480;67634426;905414;3419059;3677;114664384;52373295;66798161;32396364;5978572;223641570;66922958;1059491;4103265;190;121298370;
1663105527411;37775123;8692994;10812761;5538330;789945;41617590;11173402;150012;652670;34;15394156;10986020;17647506;8562456;1745675;69717630;15019492;270887;1106370;43280;23829848;
1663105527427;37628597;1621629;3001314;1900773;392097;15008160;2471623;37663;124276;13;2592729;1788881;2906907;1421343;247536;15026502;2410488;56655;212519;4694;2665789;
1663105527443;37588208;189888;383472;456246;46991;1545264;304950;7830;33174;14;426057;1311061;1272989;632709;127283;6867054;1585121;40249;117070;2651;1723851;
1663105527458;37753225;184389;303087;399294;31526;1174998;277196;6746;26321;14;403644;1327473;1026606;503622;142257;5252580;1575388;42664;120389;2580;1767383;
1663105527474;37639850;164525;275979;377811;29445;1083150;234606;6379;25617;9;353611;1343500;978750;491652;143068;5047806;1577362;42204;117691;2445;1752804;
1663105527490;37733092;1457773;1152494;866061;157380;5825226;1736619;46379;139922;2565;1961385;107788;294085;166257;39989;832476;185657;6268;21532;0;418813;
1663105527505;37681887;1504309;1128962;839223;152752;6016230;1680446;45040;133571;2593;1887703;78490;350955;192780;29726;1212270;120622;5373;16893;0;271965;
1663105527521;37627030;4002781;4008984;2242233;158295;16098012;4041382;52113;156688;2594;8218565;2780223;2236921;1116108;48924;7521072;2575247;11445;36781;0;5410118;
1663105527536;37663237;1480798;1270591;986454;194734;6063282;1759866;47245;142080;2547;2021558;139451;396943;212436;65744;1258764;229043;7175;27810;13;479800;
1663105527552;37695940;1642405;1686296;1273671;182342;8298096;2019900;51168;173250;2527;2313745;227951;678364;348012;72643;2673408;375279;9956;43507;117;676311;
1663105527568;37694780;1154573;2773585;1962387;263531;11684208;1928935;45405;211492;501;2577116;9849508;11488925;5576886;882790;62795484;13810396;189270;796759;118465;13358469;
1663105527583;37488910;2325542;3025311;1715868;244238;9255072;2775572;53519;190475;77;6087966;7199764;6312019;3060351;406265;29105202;9141630;149162;566378;109248;11492664;
1663105527599;37674327;377593;930419;601461;102492;4234926;663511;18353;83888;40;859106;4308573;2937083;1423863;209292;16580802;5515108;79610;283081;94316;5450286;
1663105527615;37807167;532213;1202690;875070;114372;4951002;892520;18585;97706;333;1194508;1234655;2544523;1238454;264486;13237770;2185078;38949;202811;964;2216027;
1663105527630;37699616;3975850;3915179;2031309;268050;13071660;4751317;84655;288994;96564;7240537;2228291;4172436;2025009;488014;12914430;3409333;80250;327967;5230;7615763;
1663105527646;37750858;463987;1300728;925344;87191;4434402;844626;21209;91302;39;1318073;8941544;6251697;3032883;408470;34731228;11454469;143531;515413;193870;11020245;
1663105527661;37521343;1093945;2137971;1639953;203706;7930446;1677555;39176;172793;435;3258860;7399062;5604731;2723301;395132;28680978;9552668;140433;567469;87506;10176453;
1663105527677;37670837;330769;844693;660870;84353;3384102;595390;17113;74721;42;938706;4752502;3332093;1645560;233272;17890206;6152437;91197;327939;72465;6201558;
1663105527693;37664375;296865;727935;637938;42862;2888970;522051;14707;61297;20;742102;4690448;3218262;1570149;277249;17389824;5960898;93778;333764;72895;6036512;
1663105527708;37643480;403880;1075131;764694;125159;3562194;685940;22213;92610;29;1125951;5133811;3769611;1827756;313467;19731972;6562830;101235;365051;73049;6743646;
1663105527724;37682991;4002289;5000213;2697975;356874;27085176;5780936;60902;339248;42;5948366;4477337;3712268;1802430;332655;19699752;6142614;96026;355686;67664;6081886;
1663105527740;37637842;498254;856958;708750;110672;2754114;718475;17007;65934;67;1634550;1383909;1240155;622881;170437;5039664;1634977;47301;136364;4364;2245568;
1663105527755;37639382;371102;10274585;5440743;34144;49942974;574896;8374;37330;39;887877;1535361;4670983;2287215;155593;18152466;1891328;48351;141371;4211;2127344;
1663105527771;37686171;408672;10531566;5686569;28195;61443060;607395;7122;31415;19;813839;1398399;1177168;588546;146961;6146298;1668379;46718;133076;4266;1834648;
1663105527786;37747616;589046;996558;710010;134887;4455396;876364;19208;82101;46;1097022;1488457;1314057;637497;180492;6340032;1795100;51921;155210;4326;2052735;
1663105527802;37578194;195583;329014;515403;32674;1350708;296973;7078;32417;32;408259;1367606;1070122;540477;152915;5589438;1667694;46654;133474;4349;1827636;
1663105527818;37706205;119451;269541;404145;36293;1092336;206252;6117;25848;19;296485;1409444;1039160;534051;139903;5546442;1633218;46413;129607;2359;1763105;
1663105527833;37606531;173897;247159;350658;23865;1003128;227288;5835;23465;9;339782;1327825;974701;497952;144079;5168298;1522410;45802;124836;2439;1701306;
1663105527849;37674282;155397;237864;346752;23568;938760;200202;5888;23288;9;312785;1340799;965702;502740;143262;5154834;1535374;45341;122193;2324;1711431;
1663105527865;37721556;583568;1220843;881055;123090;5571666;955328;20365;105670;369;1183070;2399021;3509522;1709253;305369;19092552;3856624;56491;295222;3887;3683441;
1663105527880;37731670;30761910;35299208;17351838;2860609;133580778;38225006;580236;2342518;5456;61774501;24161056;30342832;14711634;2779761;102454806;30760508;553465;2078343;111181;52539589;
1663105527896;37636836;7969686;7150603;4061232;430968;36175134;10539904;147985;646902;121390;11044976;1700655;4082818;1979523;428550;17607114;2877073;55805;279848;1071;4150204;
1663105527911;37654429;5845441;6508532;3655953;450409;27539064;7766839;124364;515512;111069;9622196;2331024;4483804;2178540;450711;16772238;3522753;74790;331857;4190;6980875;
1663105527927;37613067;9113581;6553340;3538332;357150;36499128;11735848;145023;527806;203422;11220908;331682;1008097;493542;140117;3176508;625882;18541;81380;29;1130272;
1663105527943;37631817;8764467;6828278;3841236;429740;35845380;11407519;156527;628181;93130;11984431;1267928;2205303;1069425;250371;8206836;1892041;36734;159172;694;3444641;
1663105527958;37664294;5389742;4511552;2626722;330655;23863620;7251576;115235;443178;75801;7317722;711469;1486718;720972;187811;6071928;1199629;28109;133127;664;1675353;
1663105527974;37680247;746302;1525121;1023813;192855;5753814;1143064;30612;126294;73;2271645;4307393;3032544;1481571;223862;15264666;5469712;87889;307154;71088;5884803;
1663105527990;37699737;693706;1594574;1215648;151731;6811266;1168103;30007;142537;391;1552631;4829614;3770663;1832922;345653;19844976;6213342;105084;391558;70018;6461038;
1663105528005;37674486;1007895;1998451;1403136;239195;7791300;1559173;38985;168919;397;2758588;4383479;3779037;1837584;336602;18394152;5864135;98328;368502;66416;6417540;
1663105528021;37637375;899771;1494410;1007055;170965;5573070;1303815;26249;108463;80;2337940;1492223;1534024;754929;199043;6010386;1831499;53189;159258;5353;2581790;
1663105528036;37686433;499245;852474;705096;94825;2779986;688074;16425;63274;68;1582142;1375589;1232734;603477;165159;4997370;1602824;46930;133184;5413;2197570;
1663105528052;37719822;910482;1693517;1271592;165232;8183982;1474498;29902;164759;1033;1744406;1961878;2060639;998802;261165;10248558;2575401;63790;227441;3487;2921685;
1663105528068;37671952;848940;1485037;1067220;171600;5760216;1267466;28770;126087;384;2351906;1716184;1829004;893592;234258;7894026;2144952;58277;196938;3099;2857262;
1663105528083;37685285;1857419;3203705;1988973;325080;13982868;2835249;57164;249141;3382;4298651;2363426;2954041;1443582;311403;12385668;3221924;74857;281761;3486;4096531;
1663105528099;37555772;780318;1532100;1217160;146908;6658578;1277488;28110;141913;694;1678544;6221021;5228296;2534868;409196;28477794;8453637;125688;501207;121399;8302309;
1663105528115;37769376;229232;552320;401058;57318;2363766;370773;11455;47833;0;549744;100305;262456;127197;33246;752508;172785;4470;19129;9;343741;
1663105528130;37657710;2519943;2189182;1187802;180124;11420946;3358707;71010;240300;16944;3489637;231487;604360;294777;92553;1962738;410151;13054;52653;11;721588;
1663105528146;37677073;625559;1331621;1048572;138416;6017172;1046274;26997;126704;345;1348106;2807762;2595285;1263024;247484;13680510;3860823;77010;282672;16536;3947234;
1663105528161;37673971;929800;1813879;1471995;184759;8385888;1508842;36219;173270;682;1927560;3132027;3007511;1463427;301644;15706698;4216587;85864;324936;17659;4430280;
1663105528177;37680576;871724;1695017;1408491;140281;7719240;1427335;32869;161344;636;1800503;3223673;3258334;1595916;355771;16930146;4479550;90677;347927;17322;4721561;
1663105528193;37536089;1317623;2378310;1601964;244000;11222754;2097307;44272;212487;690;2512170;3117295;3268698;1584828;365373;16532940;4305199;91723;346111;14250;4619773;
1663105528208;37773818;204207;404766;544068;43483;1582836;332467;8997;39346;43;521975;1375984;1137562;557361;153376;5678694;1680140;47503;142946;2540;1913776;
1663105528224;37678794;137823;367597;450954;38906;1279332;256741;6657;30478;15;435553;1412622;1092559;544635;143262;5696664;1672016;47335;133929;2455;1825266;
1663105528240;37720070;3785158;4174574;2283687;286643;23678706;5441815;48779;290040;13;5336787;1529947;1557272;760095;207997;7970388;1995273;54685;173914;2447;2167586;
1663105528255;37634503;486132;937831;869337;79778;4383744;829730;16901;86855;350;980017;1730259;1710661;834813;216796;8708760;2243014;57017;196788;3571;2493829;
1663105528271;37664454;291777;469922;470484;39661;2296734;384493;7632;39459;8;505364;1325319;1045553;524664;147841;5533680;1576241;46439;131616;2392;1727870;
1663105528286;37656588;156447;248749;359415;23802;1001904;214816;5991;24450;7;313233;1338102;988604;505701;141185;5261490;1574186;45776;125863;2444;1734874;
1663105528302;37694326;454818;824156;801927;78313;3742518;715613;16261;82126;354;909425;1730939;1678169;830277;216722;8620926;2205296;56793;193958;3077;2468356;
1663105528318;37666971;201187;375117;409941;47196;1584570;281189;8492;35898;12;413455;1312747;928130;469728;122643;4950168;1512243;44374;120728;2465;1653442;
1663105528333;37709246;154364;367275;477162;44108;1340928;254887;7348;28995;11;430904;1414046;1067635;540666;145882;5567868;1620549;47142;131643;2869;1784038;
1663105528349;37710404;641982;1274405;1029294;114086;5790414;1044464;24363;118741;341;1298239;1733610;1823658;895356;227228;9044214;2278579;58676;204925;3563;2595360;
1663105528365;37625701;120162;133287;205443;5759;551208;156047;3493;12339;0;225457;66220;98471;72387;8100;346170;102867;2096;7405;0;182036;
1663105528380;37765991;186728;440874;355950;42667;1509912;312586;7394;33189;10;554296;1434148;1189986;598689;160197;5950176;1692270;49349;141914;2505;1942090;
1663105528396;37728340;593542;1421138;1084230;151900;6082392;1051272;24423;118147;349;1387776;3626069;4275093;2079000;443627;23038926;5141476;100582;405253;6658;5175226;
1663105528411;37673780;488890;1070746;797076;96084;4048140;784792;19861;87385;37;1274728;5552589;4393312;2130030;327659;23719422;7473734;111521;418149;118755;7410500;
1663105528427;37671927;337465;768032;654822;73551;3188664;575787;16371;69134;24;806855;2447916;2156515;1060605;212686;11201286;3308348;68782;232948;16616;3399128;
1663105528443;37690837;252753;633257;569016;38751;2624646;451254;12349;53221;17;630943;2505579;2114332;1031562;224585;11240934;3279273;71970;243818;15793;3358209;
1663105528458;37616721;409048;912385;750645;94052;4102596;697689;19535;85231;18;894087;2350041;1830424;895167;174915;9842310;3023789;65150;213873;15874;3091075;
1663105528474;37658961;320292;688706;582624;62098;2911806;509851;15056;61964;17;729466;2411548;1956989;953631;197164;10275018;3098310;68350;223789;15658;3227285;
