Time[sec],package0-bigcore-CPU0-INST_RETIRED.ANY,package0-bigcore-CPU0-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU0-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU0-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU0-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU0-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU0-L1D.REPLACEMENT,package0-bigcore-CPU0-L2_RQSTS.REFERENCES,package0-bigcore-CPU0-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU0-UOPS_EXECUTED.CORE,package0-bigcore-CPU0-PERF_METRICS.RETIRING,package0-bigcore-CPU0-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU0-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU0-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU0-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU0-PERF_METRICS.MEMORY_BOUND,package0-bigcore-CPU1-INST_RETIRED.ANY,package0-bigcore-CPU1-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU1-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU1-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU1-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU1-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU1-L1D.REPLACEMENT,package0-bigcore-CPU1-L2_RQSTS.REFERENCES,package0-bigcore-CPU1-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU1-UOPS_EXECUTED.CORE,package0-bigcore-CPU1-PERF_METRICS.RETIRING,package0-bigcore-CPU1-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU1-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU1-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU1-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU1-PERF_METRICS.MEMORY_BOUND,Frequency0,DTS0,DTS1,DTS2,DTS3,DTS5,ratio,Frequency[MHz],cycles
0.31400000000000006,96507,85463,173754,7963,434058,119013,1784,6487,0,202963,66,13,78,97,16,10,51,39,61453,45208,60858,3386,193098.0,78859.0,536.0,1450.0,0.0,202638.0,90.0,20.0,104.0,42.0,19.0,17.0,64.0,14.0,1189.91269035533,43.806451612903224,45.08870967741935,44.83870967741935,45.20967741935484,45.975806451612904,8.32258064516129,832.258064516129,112235393911371.0
0.3300000000000054,106703,102840,194922,8509,434526,135314,2381,7283,0,248715,73,13,92,76,17,11,60,29,85092,84270,152145,6135,292782.0,114724.0,1518.0,3835.0,0.0,248112.0,87.0,20.0,109.0,42.0,21.0,18.0,68.0,14.0,1276.3594053005818,43.99242424242424,45.09090909090909,44.86363636363637,45.43181818181818,45.97727272727273,8.303030303030303,830.3030303030303,119476417013883.0
0.34600000000000364,96674,85292,171045,7901,433374,121500,1788,6580,0,201952,67,13,82,93,16,10,54,37,61453,44474,59976,3363,189198.0,77574.0,527.0,1371.0,0.0,202475.0,92.0,18.0,104.0,41.0,20.0,16.0,63.0,14.0,1206.3398895027624,43.96923076923077,45.37692307692308,44.89230769230769,45.45384615384615,46.09230769230769,8.307692307692308,830.7692307692307,117666198446786.0
0.3610000000000042,16983060,13981916,19249713,140784,77121582,20002846,52283,244929,6,22576990,63,5,30,157,9,5,21,76,646033,2561085,3472812,74393,9974310.0,1103789.0,19059.0,90792.0,0.0,22577069.0,20.0,14.0,98.0,123.0,5.0,14.0,85.0,39.0,1757.1717140510093,43.91935483870968,45.346774193548384,44.91129032258065,45.28225806451613,45.903225806451616,8.0,800.0,112235479665133.0
0.37700000000000244,137189,909566,1369998,12099,5260878,203780,2715,11650,0,292524,8,3,18,226,2,3,13,64,72000,100648,170100,12746,346110.0,107347.0,1126.0,6101.0,0.0,290310.0,61.0,28.0,141.0,33.0,15.0,27.0,106.0,16.0,1606.14983905086,43.621212121212125,45.0,44.65909090909091,45.0,45.95454545454545,8.303030303030303,830.3030303030303,119476508665752.0
0.3930000000000007,360958,251344,392301,15536,1140006,412177,5510,19013,3,555390,88,27,97,43,17,26,66,20,99237,125328,200718,8936,369612.0,138292.0,2024.0,7807.0,0.0,557253.0,78.0,30.0,113.0,33.0,18.0,29.0,77.0,19.0,1549.9613939296612,43.784615384615385,44.96153846153846,44.776923076923076,45.15384615384615,45.90769230769231,8.307692307692308,830.7692307692307,117666288705735.0
0.40800000000000125,107436,109655,200088,8923,493626,144155,2385,8579,0,247421,65,17,99,76,15,15,67,30,81949,77164,129150,4494,279222.0,109636.0,1222.0,3488.0,0.0,246731.0,86.0,22.0,106.0,39.0,20.0,20.0,66.0,14.0,1325.8035264483628,44.0,44.95,44.8,45.5,46.15,8.0,800.0,18102508611855.0
0.43900000000000006,113618,99464,192780,8724,515748,142851,2266,7831,0,222840,65,13,79,99,15,10,51,45,60707,44973,60606,3355,192006.0,78525.0,510.0,1319.0,0.0,221989.0,90.0,20.0,104.0,41.0,19.0,17.0,64.0,13.0,1248.1756862745096,43.85576923076923,45.07692307692308,44.96153846153846,45.18269230769231,46.02884615384615,8.384615384615385,838.4615384615385,94133225271236.0
0.4550000000000054,105799,99342,187110,8778,452910,133898,2223,7491,0,229332,69,14,91,81,17,12,60,32,70343,68792,127323,5823,250782.0,96430.0,1069.0,2672.0,0.0,228702.0,85.0,19.0,109.0,42.0,22.0,17.0,69.0,16.0,1284.421818181818,43.6,44.63846153846154,44.54615384615385,44.86153846153846,45.88461538461539,8.307692307692308,830.7692307692307,117666558535401.0
0.47100000000000364,104200,104980,197505,8704,421866,130944,2262,7329,0,245303,74,13,97,66,18,11,64,24,86852,96134,169911,9260,314640.0,115642.0,1507.0,5592.0,0.0,242240.0,79.0,23.0,123.0,38.0,17.0,21.0,84.0,17.0,1285.8794258373205,43.53030303030303,44.40909090909091,44.47727272727273,44.68939393939394,45.45454545454545,8.303030303030303,830.3030303030303,119476843919671.0
0.4870000000000019,3758536,3149635,4297923,136684,18152004,5085390,38761,262756,0,5261976,58,26,121,51,11,24,89,26,327990,521999,727524,49024,2313006.0,582629.0,8598.0,37696.0,0.0,5264069.0,40.0,31.0,112.0,73.0,8.0,31.0,87.0,53.0,1772.8556309640724,43.65384615384615,44.707692307692305,44.52307692307692,45.03846153846154,45.746153846153845,8.0,800.0,117666618882558.0
0.5020000000000024,128422,143512,291123,11231,774234,178382,2778,13524,0,250992,49,18,112,76,11,16,86,35,62261,52483,70686,3727,228174.0,82773.0,566.0,2333.0,0.0,250470.0,78.0,22.0,121.0,35.0,16.0,21.0,84.0,12.0,1192.5688811945467,43.846774193548384,45.00806451612903,44.766129032258064,44.99193548387097,45.95161290322581,9.774193548387096,977.4193548387096,112235879758771.0
0.5180000000000007,100350,101631,196938,8625,448572,130492,2233,7755,0,301015,67,17,98,72,16,14,66,28,139485,128747,212625,16163,576180.0,135632.0,2022.0,10353.0,0.0,301327.0,63.0,23.0,138.0,33.0,11.0,22.0,107.0,17.0,1248.442226487524,43.66153846153846,44.684615384615384,44.52307692307692,45.15384615384615,45.58461538461538,8.615384615384615,861.5384615384615,117666677389360.0
0.534000000000006,106456,109716,201033,8762,455796,137784,2461,8351,0,248490,69,17,97,71,17,15,65,28,84176,89598,150759,5472,316098.0,116706.0,1676.0,5257.0,0.0,247753.0,77.0,25.0,116.0,39.0,18.0,23.0,76.0,15.0,1320.3053588216858,43.65151515151515,44.40909090909091,44.45454545454545,44.82575757575758,45.61363636363637,8.303030303030303,830.3030303030303,119476964602056.0
